FILE_PATH,FOLDER,DATASET_TYPE,FORMAT,EVIDENCE_ID,CASE_ID,SIZE_BYTES,SHA256,DESCRIPTION,CLASSIFICATION
01_FIR/FIR_0412-2025_CASE-101_Chennai-Central.pdf,01_FIR,FIR / First Information Report,PDF,EV-1024,CASE-101,7236,f0b284c0808ef194f15a777f9a0bd56a0fad4d78619322bdc4e12414e095531c,"First Information Report, Form IF1 layout, vehicle theft, Chennai Central (PDF rendering)",SYNTHETIC DEMONSTRATION DATA
01_FIR/FIR_0412-2025_CASE-101_Chennai-Central.txt,01_FIR,FIR / First Information Report,TXT,EV-1024,CASE-101,7421,2ab2c812524d36ca1e532c6cb0e15ce80e288c6fe750da09abf64528aa838a63,"First Information Report, Form IF1 layout, vehicle theft, Chennai Central",SYNTHETIC DEMONSTRATION DATA
01_FIR/FIR_0731-2025_CASE-512_Anonymous-Tip.pdf,01_FIR,FIR / First Information Report,PDF,EV-5120,CASE-512,5578,38543258f55df51c155584cec825392c91bdafc471333b4e13069f500c4a938c,Anonymous tip register entry with no particulars - drives the INSUFFICIENT EVIDENCE pathway (PDF rendering),SYNTHETIC DEMONSTRATION DATA
01_FIR/FIR_0731-2025_CASE-512_Anonymous-Tip.txt,01_FIR,FIR / First Information Report,TXT,EV-5120,CASE-512,4791,0822564c5c453dbb7e3eac51c945e1a809ba67cfb878e943876e2970df5f4d1f,Anonymous tip register entry with no particulars - drives the INSUFFICIENT EVIDENCE pathway,SYNTHETIC DEMONSTRATION DATA
02_POLICE_REPORT/POLICE-REPORT_Cr-0518-2025_CASE-202_Chennai-Central.pdf,02_POLICE_REPORT,Police report,PDF,EV-2041,CASE-202,5463,4e7e6f42f1523b6aebf15da6b36000ed974f529ac129d5feb28aba196caa4d63,Case diary extract recording the 18 Aug Chennai Central observations (PDF rendering),SYNTHETIC DEMONSTRATION DATA
02_POLICE_REPORT/POLICE-REPORT_Cr-0518-2025_CASE-202_Chennai-Central.txt,02_POLICE_REPORT,Police report,TXT,EV-2041,CASE-202,4133,3db6c2ccaaae64a33393acf6c13d5119fae12a5a6341eebf745badc699810457,Case diary extract recording the 18 Aug Chennai Central observations,SYNTHETIC DEMONSTRATION DATA
02_POLICE_REPORT/POLICE-REPORT_Enq-0134-2025_CASE-407_Coimbatore.pdf,02_POLICE_REPORT,Police report,PDF,EV-4090,CASE-407,3747,3b2ff5fa55a9041a11a493f4f1ad9efb0177ab55677f6af2ae05a67f01edfad4,"Preliminary enquiry note, Coimbatore document irregularity (PDF rendering)",SYNTHETIC DEMONSTRATION DATA
02_POLICE_REPORT/POLICE-REPORT_Enq-0134-2025_CASE-407_Coimbatore.txt,02_POLICE_REPORT,Police report,TXT,EV-4090,CASE-407,2854,a647d708566e59e1522da44019b287e74b18c13c3cf93b85fac60342e45fc070,"Preliminary enquiry note, Coimbatore document irregularity",SYNTHETIC DEMONSTRATION DATA
03_CDR_CALL_DETAIL_RECORDS/CDR-COVERING-LETTER_STL-2025-2214.pdf,03_CDR_CALL_DETAIL_RECORDS,Call Detail Record (CDR),PDF,EV-1025,CASE-101,3880,68b9da1b9dc6a42bd675d0af3d352d0c15462ca50920daf7cabf5c5baae4a990,Covering letter (PDF rendering),SYNTHETIC DEMONSTRATION DATA
03_CDR_CALL_DETAIL_RECORDS/CDR-COVERING-LETTER_STL-2025-2214.txt,03_CDR_CALL_DETAIL_RECORDS,Call Detail Record (CDR),TXT,EV-1025,CASE-101,2991,f026cdaaa23b682aef8459ff749202ecd78939e6b8a51f8f721fd2e1b40a265f,Operator covering letter; states the 15-19 Aug records were NOT furnished - this is the deliberate information gap,SYNTHETIC DEMONSTRATION DATA
