STAGE,WHAT_THE_DATASET_CONTAINS,WHAT_THE_PLATFORM_SHOULD_OUTPUT,WHY_IT_MATTERS,CLASSIFICATION
Entity extraction,10 evidence documents in 7 formats,"37 entities: 15 PERSON, 5 VEHICLE, 6 LOCATION, 4 PHONE, 3 ACCOUNT, 2 ORGANISATION, 2 DEVICE (plus 5 CASE nodes in the graph)","Extraction is traceable to a document, never invented",SYNTHETIC DEMONSTRATION DATA
Entity resolution,Name variants Ravi Kumar / R. Kumar / Ravi K. sharing TN01AB1234,"Candidate match at 95.0 similarity, auto_merged = FALSE",The platform never auto-merges an identity,SYNTHETIC DEMONSTRATION DATA
Cross-case correlation,"TN01AB1234 documented in CASE-101, CASE-202, CASE-305","3 cross-case associations, strongest XC-101-202 at 97.0","The link rests on a shared documented identifier, not on a name",SYNTHETIC DEMONSTRATION DATA
Knowledge graph,28 evidence-backed relationships,"A graph of 37 entities + 5 case nodes; every edge cites the evidence id it came from, and the investigator sees only the cases they are authorised for",No edge exists without a source document,SYNTHETIC DEMONSTRATION DATA
Network analysis,Graph above,"Degree and betweenness centrality, 7 communities, shortest path PER-001 -> LOC-001 -> PER-004","Central is described as structurally important, never as a leader or a criminal",SYNTHETIC DEMONSTRATION DATA
Timeline,"17 events, 10-27 Aug 2025",Baseline 1.7 events/day with a spike on 12 Aug; temporal-spatial convergence at Chennai Central on 18 Aug,"Co-location is reported as co-location, not as a meeting",SYNTHETIC DEMONSTRATION DATA
Anomaly detection,63 transactions: baseline ~2/day plus a 50-transaction burst on 22 Aug 14:00-15:00,1 anomaly flagged on ACC-001 at 2025-08-22 14:00 (Isolation Forest),"An anomaly is a statistical outlier, never an accusation",SYNTHETIC DEMONSTRATION DATA
Corroboration,"EV-2041 (Chennai Central) vs EV-2043 (Madurai), same 5-minute window","corroborated 0, contradictory 3, partial 0, insufficient 2; CON-001 surfaced, not suppressed",Contradictions are preserved and shown to the investigator,SYNTHETIC DEMONSTRATION DATA
Information gaps,No CDR for 15-19 Aug; no RTO ownership record; no identity document,5 gaps ranked by information value; IG-001 HIGH,The platform states what it does not know,SYNTHETIC DEMONSTRATION DATA
Next-best action,The gaps above,Top action: Cross-reference authorised vehicle records (information value 0.92),"Actions are lawful record checks, never surveillance or arrest advice",SYNTHETIC DEMONSTRATION DATA
Human verification,Unverified relationships and candidate identities,Verify / reject with rationale; rejection preserves the original finding,The human decides; the machine proposes,SYNTHETIC DEMONSTRATION DATA
Integrity,"10 registered objects, 1 altered after registration (EV-2042)","9 VERIFIED, 1 INTEGRITY_MISMATCH; ledger chain intact","Tampering is detectable, on demand",SYNTHETIC DEMONSTRATION DATA
Insufficient evidence,CASE-512: one anonymous tip with no particulars,INSUFFICIENT EVIDENCE plus the named missing elements; no network is drawn,The platform refuses to guess,SYNTHETIC DEMONSTRATION DATA
